44.9500000,-116.1500000,20130210,"WEISER, PAYETTE, BOISE",319,"16E11S","Bear Basin","5350",0.0,1.0,0,,20.4,17.2,119,,
44.6000000,-116.9833333,20130210,"WEISER, PAYETTE, BOISE",324,"16E10S","Bear Saddle","6180",0.0,1.1,0,,19.2,17.8,108,,
44.6333333,-115.8000000,20130210,"WEISER, PAYETTE, BOISE",338,"15E02S","Big Creek Summit","6560",0.0,1.3,0,,24.6,24.9,99,,
45.0500000,-116.1333333,20130210,"WEISER, PAYETTE, BOISE",370,"16D09S","Brundage Reservoir","6250",0.0,1.5,0,,31.8,25.8,123,,
44.2833333,-115.6500000,20130210,"WEISER, PAYETTE, BOISE",423,"15E08S","Cozy Cove","5400",0.0,0.9,0,,19.4,17.6,110,,
44.5500000,-115.5666667,20130210,"WEISER, PAYETTE, BOISE",439,"15E04S","Deadwood Summit","6860",0.1,1.8,6,,32.4,31.0,105,,
43.6000000,-114.6666667,20130210,"WEISER, PAYETTE, BOISE",450,"14F08S","Dollarhide Summit","8420",0.0,1.0,0,,18.2,18.1,101,,
43.9500000,-115.2666667,20130210,"WEISER, PAYETTE, BOISE",496,"15F14S","Graham Guard Sta.","5690",0.0,0.8,0,,15.8,16.1,98,,
44.0500000,-115.4500000,20130210,"WEISER, PAYETTE, BOISE",550,"15E09S","Jackson Peak","7070",0.0,1.3,0,,21.7,23.0,94,,
43.9333333,-115.6666667,20130210,"WEISER, PAYETTE, BOISE",637,"15F01S","Mores Creek Summit","6100",0.0,1.4,0,,20.4,25.3,81,,
43.5000000,-115.5666667,20130210,"WEISER, PAYETTE, BOISE",704,"15F06S","Prairie","4800",0.0,0.5,0,,8.3,10.7,78,,
45.1833333,-115.9666667,20130210,"WEISER, PAYETTE, BOISE",740,"15D01S","Secesh Summit","6540",0.0,1.4,0,,23.2,23.0,101,,
44.7666667,-116.2500000,20130210,"WEISER, PAYETTE, BOISE",782,"16E05S","Squaw Flat","6240",0.0,1.3,0,,30.1,21.2,142,,
43.6333333,-115.4333333,20130210,"WEISER, PAYETTE, BOISE",830,"15F05S","Trinity Mtn.","7770",0.0,1.5,0,,24.0,27.7,87,,
43.8000000,-114.8500000,20130210,"WEISER, PAYETTE, BOISE",845,"14F04S","Vienna Mine","8960",0.0,1.3,0,,22.4,21.2,106,,
45.0666667,-116.4500000,20130210,"WEISER, PAYETTE, BOISE",855,"16D08S","West Branch","5560",0.0,1.2,0,,24.7,21.6,114,,
,,,,"WEISER, PAYETTE, BOISE",,,Basin Index (%),"","",0,,"","",105,, 
41.7666667,-115.7000000,20130210,"OWYHEE MALHEUR",336,"15H04S","Big Bend","6898",0.1,0.4,25,,8.4,7.6,111,,
44.2500000,-118.5166667,20130210,"OWYHEE MALHEUR",357,"18E16S","Blue Mountain Spring","5870",0.4,1.0,40,,17.9,17.9,100,,
41.8166667,-116.1000000,20130210,"OWYHEE MALHEUR",476,"16H08S","Fawn Creek","7031",0.1,0.8,12,,16.5,15.0,110,,
41.5500000,-116.0000000,20130210,"OWYHEE MALHEUR",548,"16H02S","Jack Creek Upper","7377",0.3,0.7,43,,13.9,13.5,103,,
41.5166667,-116.0166667,20130210,"OWYHEE MALHEUR",549,"16H04S","Jacks Peak","8424",0.0,1.1,0,,15.7,17.3,91,,
44.2166667,-118.6333333,20130210,"OWYHEE MALHEUR",563,"18E18S","Lake Creek R.S.","5240",0.3,0.7,43,,14.5,13.8,105,,
41.7833333,-116.0333333,20130210,"OWYHEE MALHEUR",573,"16H05S","Laurel Draw","6682",0.1,0.7,14,,12.3,12.5,98,,
42.6000000,-116.5666667,20130210,"OWYHEE MALHEUR",654,"16G07S","Mud Flat","5730",0.0,0.4,0,,6.8,8.0,85,,
42.7666667,-116.9000000,20130210,"OWYHEE MALHEUR",774,"16G01S","South Mtn.","6500",0.2,1.0,20,,16.4,16.4,100,,
41.2333333,-116.0333333,20130210,"OWYHEE MALHEUR",811,"15H09S","Taylor Canyon","6325",0.1,0.3,33,,6.0,6.0,100,,
